0.mp3|അതിന്റെ പിന്നിൽ തന്നെയാത് എഴുതിയിട്ടുണ്ട്
1.mp3|മറ്റൊരു പ്രധാനപ്പെട്ട കാരണം കേരളത്തിലെ സുശക്തമായ യുവജന പ്രസ്ഥാനങ്ങളാണ്
2.mp3|വിരസ നിവിഷങ്ങൾ സരസ്സമാക്വാനിവ ധാരാളമാണെനിക്കെന്ന്
3.mp3|ഗാന്ധ്യേയും നഹ്രുവിനേയും രാഷ്ട്രീയമായി പൂർണ്ണമായും വെർുതിരിച്ച് കാണന്ുള്ള ശ്രമങ്ങൾ ഇന്നുണ്ട്
4.mp3|എന്തുകൊണ്ടാണ്‌ ഹിന്ദുത്വ ഗാന്ധിയ വെടിവെച്ചു കൊന്നത് എന്നതിന്‌ വേറെ കാരണം തിരക്കണമോ
5.mp3|പ്രായകൂർത്തിയായതും മതിയായ വിദ്യാഭ്യാസമഉള്ളതുമായ യുവധി സ്വന്തം ഇഷ്ടപ്രകാരം മതപരിവർത്തനം ചെയ്തുതാണെന്നാണ് കടത്തിയത്
6.mp3|അയോധയയിൽ പത്തൊൻപതാം നൂറ്റാണ്ടിട്റെ പകുതി മുതൽക്കെങ്കിലും ഹിന്ദു മുസ്ലിം വർഗിയ സംഘർഷങ്ങൾ ഉണ്ടായിട്ടുണ്ട്
7.mp3|അതുവഴി മാപ്പിലപ്പാട്ടിന് കേരളത്തിുടെ നീളപ്രചാരം നൽകാൻ ആസ്വാദകരെ ശൃഷ്ടിക്കാനും അന്ദേഹത്തിന് കഴി
8.mp3|താപ വരുതിന് നിലയങ്ങൾ മാത്രമല്ല അവയ്ക്കവശ്യമായി ഇന്തനു മേഖലയും സ്വകാര്യവൽക്കച്ചുത്തിന്റെ ഫരമാത്
9.mp3|ഇന്ത്യയുടെ സാമൂഹ്യ വിപ്ലവത്തിന്റെ ഗതിതനെ നിർണയിച്ചത് ഈ കറാച്ചി പ്രമേയമായിരുന്നുവെന്നു കാണാം
10.mp3|അതിനു വേണ്ടി ഇതിലെ സങ്കീർണ്ണതകൾ പരമാവധി കുറക്കാൻ കഴിയാം
11.mp3|അന്നു ലണ്ടനിൽ പഠിച്ചിരുന്ന മകൾ യാമിനിയാണ് പുസ്തകത്തിന്റെ ഒരു പതിപ്പ് അദ്ദേഹത്തിന്‌ പൊടുത്തതത്രെ
12.mp3|പ്രതിഷേധിക്കുന്നവരെ ക്രൂര്യമായി കൈകാര്യം ചെയ്യാനാണ് അവർ‍ ലഭിച്ചു നിർദ്ദേശം
13.mp3|എന്നാല്‍ ഇന്ന് കണ്ണന്‍ നായര്‍ ചന പ്രതിനിധികൾക്കു പോലം ക്ലാസെടുക്കുന്ന പരശീലകനാണ്
