0.mp3|അതിന്റെ ടിന്നിൽ തന്നെ അത് എഴുതിയിട്ടുണ്ട്
1.mp3|മറ്റൊരു പ്രധാനപ്പെട്ട കാരണം കേറളത്തിലെ സുശക്തമായ വിവചന പ്രസ്താനങ്ങളാണ്
2.mp3|വിരസനിമിഷങ്ങൾ സരസമാക്കുവാനഇവ ധാരാളമാണിനിക്കെന്നും
3.mp3|ഗാന്ത്യെയും നെഹ്രുവിനെയും രാഷ്ട്രിയമായി പൂർണ്ണമായും വേർതിരിച്ച് കാണനുള്ള ശ്രമങ്ങൾ ഇന്നുണ്ട്
4.mp3|എന്തുകൊണ്ടാണ് ഹിന്തുത്വ ഗാന്തിയെ വെടിവെച്ചുകൊന്നത് എന്നതിന് വേറെ കാരണം തിരക്കണമോ
5.mp3|പ്രായപൂർത്തിയായതും മതിയായ വിദ്യാഭ്യാസം ഉള്ളതുമായ യുവതി സ്വന്തം ഇഷ്ടപ്രകാരം മതപരിവർത്തനം ചെയ്തതാണെന്നാണ് കണ്ടത്തിയത്
6.mp3|അയോദ്യയിൽ പത്തൊമ്പതാം നൂറ്റാണ്ടിന്റെ പകുതി മുതൽക്കെങ്കിലും ഹിന്തു മുസ്ലിം വർഗ്ഗിയ സംഘർഷങ്ങൾ ഉണ്ടായിട്ടുണ്ട്
7.mp3|അതുവഴി മാപ്പിളപ്പാട്ടിന് കേരളത്തിൽ ുടനീളം പ്രചാരം നൽകാനും ആസ്വാതകരെ സൃഷ്ടിക്കാനും അദ്ദേഹത്തിനു കഴിയുന്നു
8.mp3|താപവരിത നിലയങ്ങൾ മാത്രമല്ല അവയ്ക്കാവശ്യമായ ഇന്ത്യനെ മേഖലയും സ്വകാരി വൽക്കരിച്ചതിന്റെ ഫലമാഴലത്
9.mp3|ഇന്ത്യയുടെ സാമൂഹ്യ വിപ്ലവത്തിന്റെ ഗതിതനെ നിർണ്ണയിച്ചത് ഈ കറാച്ചി പ്രമയമായിരുന്നു എന്ന് കാണാം
10.mp3|അതിനുവേണ്ടി ഇതിലെ സങ്കീർണതകൾ പരമാവധി കുറയ്ക്കാൻ കഴിയണം
11.mp3|അന്ന് ലണ്ഡനിൽ പഠിച്ചിരുന്ന മകൾ യാമിനിയാണ് പുസ്തകത്തിന്റെ ഒരു പതിപ്പ് അദ്ദേഹതിന് കൊടുത്തതത്രേ
12.mp3|പ്രതിഷേധിക്കുന്നവരെ ക്രൂര്യമായി കൈകാര്യം ചെയ്യാനാണ് അവർക്ക് ലഭിച്ച നിർദ്ദേശം
13.mp3|എന്നാൽ ഇന്ന് കണ്ണെന്നായർ ജനപ്രതിനിധികൾക്കു പോലും ക്ലാ്സ്െടുക്കുന്ന അരിശീലകനാണ്
14.mp3|ഭൂമദ്ധരികയിൽ നിന്ന് വളരെ അടുത്തായി കിടക്കുന്നതിനാൽ കേരളത്തിൽ പുഷ്ണമേഖളാ കാലാവസ്ഥയാണ് അനുഭവപ്പെടുന്നത്
15.mp3|ഇന്ന് വൈകുന്നേരം വരെ ആകെ മൂണ്ണു കോടി ഒരു ലക്ഷ്യത്തി എഴുന്നോറ്റി പതിനാറ് ഡോസ് വാ്ക്സിനാണ് നൽകിയത്
16.mp3|കുമരകത്ത് പരിസീരനത്തിൽ പങ്കെടുത്ത ആളുകൾക്കുള്ള താമസം ഓരോ വീടികളിൽ ആയിരുന്നു
17.mp3|ഒരു പത്തൊമ്പത് വയസ്സുകാരന് അഞ്ചു കൊല്ലമായി നിരീക്ഷിച്ചു നിരീക്ഷിച്ച് പഠിച്ചതിനുശേഷമാണ് അറസ്റ്റ്
18.mp3|പിന്നെയും നാലകൊല്ലം കഴിഞ്ഞാണ് ബ്രിട്ടണിൽ സ്ത്രീകൾക്ക് വോട്ട് അവകാശം കിട്ടുന്നത് എന്നോർ്ഗണം
19.mp3|അന്നു തന്നെ ഹയയറ എസ്കിലുള്ളവരെ മെഡിക്കൽ കോലേജ് ഐസൊലേഷൻ വാർഡിലേക്ക് മാറ്റി
20.mp3|കോവിഷീൽഡ് കോവാക്സിൻ ഇന്നിവീട് രണ്ടാമത്തെ ടോസ് കാലതാംസം കൂടാതെ എല്ലാവരും എടുക്കേണ്ടതാണ്
21.mp3|ഭൂമി കാട്ടത്തിന് നൽകുന്നതിനുള്ള അധികാരം ആ സ്ഥലത്ത് സ്ഥിതിചെയ്യുന്ന സാപനത്തിന്റെ മേധാവിയിൽ രക്ഷിപ്തമാക്കം
22.mp3|വീടിന്റെ പരിമിതമായ ഇടങ്ങളിൽ മുഴുവനായും പുരുഷ നീണ്ടു നിവർന്നു കിടക്കുകയും സ്ത്രിയകൾ ഞിറിങ്ങി പോവുകയുമായിരിക്കും
23.mp3|ഈ അധിവൃഹത്തായ വിവരശേകരത്തിൽ തപ്പിത്തിറിഞ്ഞ എനിക്ക് ഒറ്റ ക്ലിക്കിൽ വിവരങ്ങൾ ലഖ്യമാകണം
24.mp3|സ്ത്രീകളെ വീടുകളിൽ ഒതുക്കിയിരുത്തി അവരുടെ അദ്വാനശേഷിയെ പൂർണ്ണമായും ചൂഷണം ചെയ്യുകയും അവരെ കൂടുതൽ വിദേയരാക്കുകയുമാണ് ഈ വ്യവസ്ഥിതി
25.mp3|വിലക്കയറ്റം ഇങ്ങനെ നിൽക്കുമ്പോൾ പലിശ നിയും കുറയ്ക്കുകയോ പണലഭ്യത വർത്ധിപ്പിക്കുകയോ ചെയ്യാൻ കഴിയുകയില്ല
