0.mp3|അതിന്റെ ടിന്നില് തന്നെ അത് എഴുതിയിട്ടുണ്ട്
1.mp3|മറ്റിട്ടു പ്രധാനപ്പെട്ട കാരണം കേരളത്തിലെ സുശക്തമായ യുവചനപ്രസ്ഥാനങ്ങളാണ്
2.mp3|വിരസ നിമിഷങ്ങള് സരസമാക്കുവാനിവ ധാരാളമാണെനിക്കെന്നും
3.mp3|ഗാന്ധിയേയും നെഹ്രുവിനേയും രാഷ്ട്രീയമായി പൂർണ്ണമായും വേർതിരിച്ചു കാണാനുള്ള ശ്രമങ്ങൾ ഇന്നുണ്ട്
4.mp3|എന്തുകൊണ്ടാണ് ഹിന്ദുത്വ ഗാന്ധിയെ വെടിവെച്ച് കൊന്നതു എന്നതിന് വേറേ കാരണം തിരക്കണമോ
5.mp3|പ്രായപൂർത്തിയായതും മതിയായ വിദ്യാഭ്യാസം ഉള്ളതുമായ യുവതി സ്വന്തം ഇഷ്ടപ്രകാരം മതപരിവർത്തനം ചെയ്തതാണെന്നാണു കണ്ടെത്തിയത്
6.mp3|അയോദ്ഹയിൽ പത്തൊന്പതാം നൂറ്റാണ്ടിന്റെ പകുതി മുതൽക്കെങ്കിലും ഹിന്ദു മുസ്ലീം വർഗീയ സംഘർഷങ്ങൾ ഉണ്ടായിട്ടുണ്ട്
7.mp3|അതുവഴി മാപ്പളപ്പാട്ടിന്റെ കേരളത്തിൽ ഗുടനീളം പ്രചാരം നൽകാനും ആസ്വാദ്ധകരെ സൃഷ്ട്ടിക്കാനും അദ്ദേഹത്തിന്ക്ക് അയണ്
8.mp3|താപവ൮െയുതതനിലയങ്ങൾ മാത്രമല്ല, അവയ്ക്കാവശ്യമായ ഇന്ധനമേഖലേയും സ്വകാര്യവൽക്ക് കേഴിച്ചതിന്റെ ഫലമാണ് അത്
9.mp3|ഇന്ത്യയുടെ സാമൂഹ്യവിപ്ലവത്തിന്റെ ഗതിതനെ നിര്‍ണയിച്ചത് ഈ കറാച്ചിപ്രമേയമായിരുന്നുമെന്നു കാണാം
10.mp3|അതിനു വേണ്ടി ഇതിലെ സങ്കീർണതകൾ പരമാവധി കുറയ്ക്കാൻ കഴിയണം
11.mp3|അന്ന് ലണ്ടനിൽ പഠിച്ചിരുന്ന മകൾ യാമിനിയാണ് പുസ്തകത്തിന്റെ ഒരു പതിപ്പ് അദ്ദേഹത്തിനു കൊടുത്തതത്രെ
12.mp3|പ്രതിഷേധിക്കുന്നവരെ ക്രൂരമായി കൈകാര്യം ചെയ്യാനാണ് അവർക്കു ലഭിച്ച നിർദ്ദേശം
13.mp3|എന്നാൽ, ഇന്ന് കണ്ണൻ നായർ ജനപ്രതിനിധികൾക്ക് പോലും ക്ലാസ് എടുക്കുന്ന പരിശീലകനാണ്
14.mp3|ഭൂമധ്യരേഖയിൽ നിന്ന് വളരെ അടുത്തായി കിടക്കുന്നുള്ളതിന്നാൽ കേരളത്തിൽ ഉഷ്ണമെഖലാ കാലാവസ്ഥയാണ് അനുഭവപ്പെടുന്നു
15.mp3|ഇന്ന് വൈകുന്നേരം വരെ ആകെ മൂന്നുകൂടി ഒരു ലക്ഷത്തിയേഴു നൂറ്റി പതിനാറു ഡോസ് വാക്സിനാഥ് നല്ലിയത്
16.mp3|കുമരകത്ത് പരിശീലനത്തിൽ പങ്കെടുത്ത ആളുകൾക്കുള്ള താമസം ഓരോ വീടുകളിൽ ആയിരുന്നു
17.mp3|ഒരു പത്തൊമ്പത് വയസ്സുകാരനെ അഞ്ചുകൊല്ലമായി നിരീക്ഷിച്ചു നിരീക്ഷിച്ചു പഠിച്ചതിനു ശേഷമാണ് അറസ്റ്റ്
18.mp3|പിന്നീയും നാലു കൊല്ലം കഴിഞ്ഞാന് ബ്രിട്ടണിൽ സ്ത്രീകൾക്ക് വോട്ടവകാശം കിട്ടുന്നത് എന്നോര്ക്കണം
19.mp3|അന്നു തന്നെ ഹൈയ റിസ്കിലുള്ളവരെ മെഡിക്കൽ കോളേജ് ഐസൊലേഷൻ വാർഡിലേക്ക് മാറ്റി
20.mp3|കോവി ഷീൽഡ്, കോവാക്സിൻ എന്നിവയുടെ രണ്ടാമത്തെ ഡോസ് കാലതാമസം കൂടാതെ എല്ലാവരും എടുക്കേണ്ടതാണ്
